category,name,description,starts_at
Wooden Door,Combo for Wooden Door,All-in-one door repair combo package,₹99
Wooden Door,New Door Installation,Full installation of a new wooden door,₹999
Wooden Door,Door Repair,Fix issues with existing wooden doors,₹99
Wooden Door,Door Locks & Latches Repair,Repair broken or faulty door locks and latches,₹99
Wooden Door,Door Lock Replace/Install,Replace or install new door locks,₹129
Wooden Door,Door Hinges Repair/Replacement,Fix or replace door hinges,₹199
Wooden Door,Door Accessories & Mesh Installation,Install mesh stoppers and other accessories,₹129
Cupboard & Drawer,Combo for Cupboard & Drawer,Full cupboard and drawer repair combo,₹149
Cupboard & Drawer,Cupboard Repair & Installation,Repair or install cupboards,₹89
Cupboard & Drawer,Cupboard & Drawer Locks,Fix or install locks for cupboards and drawers,₹79
Cupboard & Drawer,Drawer Repair & Installation,Repair or install drawers,₹89
Decor & Mirror,Combo for Decor Installation,Combined decor installation package,₹208
Decor & Mirror,Decor Installation Small,Install items up to 8x8 inch like frames clocks and key holders,₹79
Decor & Mirror,Decor Installation Large,Install items above 8x8 inch,₹129
Decor & Mirror,Mirror Installation,Professional mirror fitting at home,₹149
Decor & Mirror,Ceiling Hook/Fastener Installation,For lights planters swings and hangers,₹99
Shelf & Cabinet,Combo for Shelves & Cabinets,Shelf and cabinet combo package,₹99
Shelf & Cabinet,Shelf Installation,Wall shelf installation with drill and fitting,₹99
Shelf & Cabinet,Wall Cabinet Assembly & Installation,Assemble and mount wall cabinets,₹199
Shelf & Cabinet,Bathroom Mirror Cabinet Installation,Install mirror cabinets in bathrooms,₹499
Lock & Hinge,Door Locks & Latches Repair,Repair door locks and latches,₹99
Lock & Hinge,Door Lock Replace/Install,Replace or install door locks,₹129
Lock & Hinge,Cupboard & Drawer Locks,Repair or install cupboard locks,₹79
Curtain & Window,Curtain Rod & Blind Installation,Install curtain rods and window blinds,₹99
Curtain & Window,Window Repair,Fix broken or stiff windows,₹149
Furniture Repair,General Furniture Repair,Fix and restore your furniture at home,₹149
Furniture Repair,Broken Furniture Repair,Repair badly damaged furniture pieces,₹199
Furniture Assembly,Furniture Assembly On Demand,30-minute furniture assembly service,₹199
Furniture Assembly,Full-Day Carpenter Booking,8 hours of carpentry service,₹999
Furniture Assembly,Custom Furniture Making,Carpenter visits to discuss and quote custom work,Quote
